region_id,name,country,kind,region_tier,confidence_tier,bucket,source_type,published_annual_twh,annual_low_twh,annual_high_twh,annual_value_basis,published_year,include_in_source_verified_floor,include_in_modelled_envelope,manual_review_required,definition_notes,source,source_url,source_note,snapshot_file,validation_doc
azerbaijan,Azerbaijan,AZE,mixed,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2024,no_missing_snapshot,no,no,,IRENA RE Statistics 2024 (~200 MW solar + ~200 MW wind in operation post-2023); modelled curtailment ~2% per regional default,https://www.irena.org/Data/Energy-Profiles,,,docs/validation/azerbaijan.md
bahamas,Bahamas,BHS,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2025,no_missing_snapshot,no,no,,IRENA RCS 2025 / BPL (~20 MW solar + oil; island grids),https://www.irena.org/Data/Downloads/IRENASTAT,,,docs/validation/bahamas.md
bahrain,Bahrain,BHR,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2025,no_missing_snapshot,no,no,,IRENA RCS 2025 / EWA Bahrain (~100 MW PV),https://www.irena.org/Data/Downloads/IRENASTAT,,,docs/validation/bahrain.md
bangladesh,Bangladesh,BGD,solar,static,T3-modelled,T3,modelled_or_fallback,0.100000,0.060000,0.140000,modelled annual central encoded in static/typical snapshot,2024,no_modelled_envelope_only,yes,no,annual/modelled central value mapped to typical profile; not measured hourly curtailment,BPDB fallback,https://bpdb.gov.bd/,Typical-shape fallback: BPDB 2024 live feed unavailable (fetch failed); rooftop plus utility PV curtailment anchored at ~0.1 TWh/yr.,bangladesh.json,docs/validation/bangladesh.md
barbados,Barbados,BRB,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2024,no_missing_snapshot,no,no,,IRENA Barbados Renewables 2024 (rooftop PV; at inclusion threshold),https://www.blpc.com.bb/,,,docs/validation/barbados.md
belarus-solar,Belarus Solar,BLR,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2025,no_missing_snapshot,no,no,,IRENA RCS 2025 / Belenergo (~90 MW solar),https://www.irena.org/Data/Downloads/IRENASTAT,,,docs/validation/belarus-solar.md
belarus-wind,Belarus Wind,BLR,wind,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2025,no_missing_snapshot,no,no,,IRENA RCS 2025 / Belenergo (~160 MW wind),https://www.irena.org/Data/Downloads/IRENASTAT,,,docs/validation/belarus-wind.md
belgium-solar,Belgium Solar,BEL,solar,live,T1a-live-tso,T1a,generation_or_feed_x_rate,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,generation/feed multiplied by citable or assumed curtailment rate; check source scope,Elia Open Data solar,https://opendata.elia.be/,Elia solar realtime CSV × 2% calibrated curtailment (observed 30d split: wind 16% / solar 84%),belgium.json,docs/validation/belgium-solar.md
belgium-wind,Belgium Wind,BEL,wind,live,T1a-live-tso,T1a,generation_or_feed_x_rate,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,generation/feed multiplied by citable or assumed curtailment rate; check source scope,Elia Open Data wind,https://opendata.elia.be/,Elia wind realtime CSV × 2% calibrated curtailment (observed 30d split: wind 16% / solar 84%),belgium.json,docs/validation/belgium-wind.md
belize,Belize,BLZ,hydro,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2025,no_missing_snapshot,no,no,,IRENA RCS 2025 / BEL (Herrera hydro + oil + solar),https://www.irena.org/Data/Downloads/IRENASTAT,,,docs/validation/belize.md
benin,Benin,BEN,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2024,no_missing_snapshot,no,no,,IRENA Benin 2024 (SBEE; imports ~80% via WAPP),https://sbee.bj/,,,docs/validation/benin.md
bhutan,Bhutan,BTN,hydro,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2025,no_missing_snapshot,no,no,,IRENA RCS 2025 / BPC (hydro-dominant; ~1.6 GW; seasonal spillage),https://www.irena.org/Data/Downloads/IRENASTAT,,,docs/validation/bhutan.md
bolivia,Bolivia,BOL,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2024,no_missing_snapshot,no,no,,IRENA Bolivia 2024 (hydro+gas dominated grid; solar+wind ~3% of mix; CNDC PDF reports),https://www.cndc.bo/,,,docs/validation/bolivia.md
bosnia-and-herzegovina,Bosnia & Herzegovina,BIH,hydro,live,T1a-live-tso,T1a,spill_or_hydro_proxy,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,spill/hydro proxy; not always grid-dispatch renewable curtailment,ENTSO-E JPCC (Krajina),https://transparency.entsoe.eu/,BH Krajina A75 feed; hydro-dominated. Structural hydro spill excluded.,entsoe.json,docs/validation/bosnia-and-herzegovina.md
botswana,Botswana,BWA,solar,static,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,2024,no_missing_snapshot,no,no,,IRENA Botswana 2024 (BPC; SAPP member; Mmadinare PV),https://www.bpc.bw/,,,docs/validation/botswana.md
bpa,bpa,,,,T1-live-TSO,T1a,generation_or_feed_x_rate,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,generation/feed multiplied by citable or assumed curtailment rate; check source scope,,,EIA BPAT hourly wind × 6.0% + solar × 2.0% calibrated curtailment (observed 30d split: wind 98% / solar 2%),bpa.json,
bpa-solar,BPA Solar,USA,solar,live,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,,no_missing_snapshot,no,no,,EIA BPA solar,https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,,docs/validation/bpa-solar.md
bpa-wind,BPA Wind,USA,wind,live,,unknown,no_emitted_snapshot,,,,no emitted snapshot row,,no_missing_snapshot,no,no,,EIA BPA wind,https://www.eia.gov/opendata/browser/electricity/rto/fuel-type-data,,,docs/validation/bpa-wind.md
brazil-bahia-solar,Bahia Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (BAHIA; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-bahia-solar.md
brazil-bahia-wind,Bahia Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (BAHIA; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-bahia-wind.md
brazil-ce-solar,Ceara Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (CE; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-ce-solar.md
brazil-ce-wind,Ceara Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (CE; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-ce-wind.md
brazil-go-solar,Goias Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (GO; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-go-solar.md
brazil-go-wind,Goias Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (GO; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-go-wind.md
brazil-maranhao-solar,Maranhao Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (MARANHAO; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-maranhao-solar.md
brazil-maranhao-wind,Maranhao Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (MARANHAO; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-maranhao-wind.md
brazil-mg-solar,Minas Gerais Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (MG; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-mg-solar.md
brazil-mg-wind,Minas Gerais Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (MG; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-mg-wind.md
brazil-mt-solar,Mato Grosso Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (MT; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-mt-solar.md
brazil-mt-wind,Mato Grosso Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (MT; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-mt-wind.md
brazil-other-solar,Brazil Other ONS States Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (OTHER; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-other-solar.md
brazil-other-wind,Brazil Other ONS States Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (OTHER; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-other-wind.md
brazil-paraiba-solar,Paraiba Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (PARAIBA; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-paraiba-solar.md
brazil-paraiba-wind,Paraiba Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (PARAIBA; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-paraiba-wind.md
brazil-pernambuco-solar,Pernambuco Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (PERNAMBUCO; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-pernambuco-solar.md
brazil-pernambuco-wind,Pernambuco Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (PERNAMBUCO; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-pernambuco-wind.md
brazil-piaui-solar,Piaui Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (PIAUI; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-piaui-solar.md
brazil-piaui-wind,Piaui Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (PIAUI; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-piaui-wind.md
brazil-pr-solar,Parana Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (PR; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-pr-solar.md
brazil-pr-wind,Parana Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (PR; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-pr-wind.md
brazil-rn-solar,Rio Grande do Norte Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (RN; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-rn-solar.md
brazil-rn-wind,Rio Grande do Norte Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (RN; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-rn-wind.md
brazil-rs-solar,Rio Grande do Sul Solar,BRA,solar,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS solar constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off solar frustrated generation (RS; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-rs-solar.md
brazil-rs-wind,Rio Grande do Sul Wind,BRA,wind,live,T1a-live-tso,T1a,direct_constrained_off,,,,needs calendar-year aggregation or source-note validation,2026,no_pending_annual_aggregation,no,no,direct operator constrained-off/restriction measurement; annual aggregation still required where annual TWh is blank,ONS wind constrained-off,https://www.ons.org.br/,"ONS Brazil direct constrained-off wind frustrated generation (RS; val_geracaoreferenciafinal - val_geracao, half-hourly)",brazil-ne.json,docs/validation/brazil-rs-wind.md
