country,region_id,tso_name,tso_url,annual_TWh_anchor,source_note_excerpt,coverage_status,data_format,data_url_or_source,has_hourly,has_annual,rate_source,recommended_action,recommended_tier_landing,priority_score,notes
COG,congo-republic,MCPT (Ministere de l Energie),not-found,0.1,IRENA Congo Rep. 2024 (MCPT); hydro+solar; SAPP member,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,Hydro-dominant; small VRE; SAPP member but no public portal identified.
COD,congo-drc,SNEL (Societe Nationale d'Electricite),https://www.snel.cd/,0.5,IRENA DRC 2024 (SNEL; Inga hydro complex ~2.5 GW; SAPP member),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,Inga hydro complex large but export-focused; domestic curtailment minimal; no public SNEL portal.
HRV,croatia,HOPS (Hrvatski Operator Prijenosnog Sustava),https://www.hops.hr/,0.1,IRENA Croatia 2024 (HOPS); solar+wind+hydro; HOPS publishes monthly wind PDF reports, not machine-readable A75; ENTSO-E A75 verification pending,documented-gap,PDF-only,https://www.hops.hr/izvjestaji-o-proizvodnji-ve-u-rh,N,Y,IRENA capacity-based estimate + HOPS monthly PDFs (not machine-readable A75),introduce-as-T2,T2,4,HOPS publishes monthly wind production PDFs back to 2016 — format not machine-readable but data IS there. Could extract annual wind curtailment figure from PDF series. T2 candidate if annual figure cited from named report. T1a requires ENTSO-E A75 extraction.
CUB,cuba,UNE (Union Electrica),https://www.cubadebate.cu/,0.1,IRENA Cuba 2024 (UNE 2022-24 grid restoration + Ember Cuba Electricity Review 2024; provisional 0.1 TWh/yr; not steady-state; mixed-fuel flat profile),unknown,PDF-only,not-probed,N,Y,IRENA capacity-based estimate + Ember,blocked-document-only,T3,2,Post-hurricane grid stress; not steady-state. Provisional anchor. Ember may have better data.
DJI,djibouti,Electricite de Djibouti (EDD),not-found,0.02,IRENA Djibouti 2024 (EDD); solar+diesel; small grid; Gulf),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Minimal VRE; priority very low.
DMA,dominica,Dominica Electricity Corporation (DOMLEC),not-found,0.01,IRENA Dominica 2024 (DOMLEC; hydro+solar+geothermal),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Small island; geothermal + hydro + solar; no public data.
DOM,dominican-republic,Organismo Coordinador del SENI (OC),not-found,0.5,IRENA Dominican Republic 2024 + OC (Organismo Coordinador del SENI) Reportes de Operacion 2024; wind+solar ~10% of generation; some curtailment in PDF reports,documented-gap,PDF-only,not-probed,N,Y,IRENA capacity-based estimate,introduce-as-T2,T2,3,OC publishes daily operation reports as PDF. Could extract annual curtailment figure. T2 candidate if annual figure cited.
ECU,ecuador,CENACE Ecuador,https://www.cenace.gob.ec/,0.05,IRENA Ecuador 2024 (hydro-dominated grid; CENACE Ecuador publishes Informe Anual + monthly Informe de Operacion as PDF; provisional 0.05 TWh/yr; hydro-dominant flat profile),documented-gap,PDF-only,https://www.cenace.gob.ec/index.php/operacion/informes,partial,Y,IRENA + CENACE PDF,blocked-document-only,T3,2,Hydro-dominant; CENACE publishes monthly Informe de Operacion as PDF. Could extract annual figure. T2 candidate.
ERI,eritrea,Eritrean Water and Energy Authority (EWA),not-found,0.01,IRENA Eritrea 2024 (EWA); solar+diesel; isolated grid),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Minimal VRE; no data; priority very low.
SWZ,eswatini,Eswatini Electricity Company (EEC),https://www.ewc.co.sz/,0.05,IRENA Eswatini 2024 (EEC; SAPP member; biomass+hydro+Eskom imports),unknown,PDF-only,not-probed,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,SAPP member; EEC publishes some annual data. T2 candidate if annual figure cited.
FJI,fiji,Energy Fiji Limited (EFL),https://www.efl.com.fj/,0.02,IRENA Fiji 2024 (EFL); hydro+solar+diesel; Pacific island),unknown,no-public-data,not-found,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,Fiji EFL publishes some generation data; island grid. T2 candidate if annual figure from EFL annual report.
PYF,french-guiana,EDF-SEI Guyane,not-found,0.05,EDF SEI Bilan Previsionnel Guyane 2024 (small grid; below normal inclusion threshold; ENTSO-E does not cover French overseas; EDF SEI alone),unknown,no-public-data,not-found,N,N,not-found,leave-T3,T3,1,Extremely small; below inclusion threshold.
GAB,gabon,Societe d'Exploitation du Gabon (SEEG),https://www.seeg-gabon.com/,0.05,IRENA Gabon 2024 (SEEG; hydro+gas; oil-flaring relevant via GGFR),unknown,PDF-only,not-probed,N,N,IRENA capacity-based estimate,blocked-document-only,T3,2,Hydro+gas; SEEG publishes some annual data. T2 candidate if annual figure cited.
GMB,gambia,National Water and Electricity Company (NAWEC),not-found,0.02,IRENA Gambia 2024 (NAWEC); solar+diesel; small West African grid),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Small grid; minimal VRE; priority very low.
GEO,georgia,Georgian State Electrosystem (GSE),https://gse.com.ge/,0.2,IRENA Georgia 2024 (GSE); hydro+solar+wind; ENTSO-E synchronisation ongoing,documented-gap,parseable-HTML-table,https://gse.com.ge/en/operational-data,N,Y,IRENA capacity-based estimate + GSE daily reports (not curtailment-specific),introduce-as-T2,T2,3,GSE has daily generation data published. ENTSO-E synchronisation ongoing. T2 candidate if annual figure from GSE annual report.
GRD,grenada,Grenada Electricity Services (GRENLEC),not-found,0.01,GRENLEC solar+oil; IRENA Grenada 2024,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Small island; minimal VRE; priority very low.
GTM,guatemala,AMM (Administrador del Mercado Mayorista),https://www.amm.org.gt/,0.4,IRENA Renewable Energy Statistics 2024 (Guatemala VRE share) + AMM Plan Operativo 2024 (provisional 0.4 TWh/yr; AMM publishes Resultados de la Operacion as PDF; no hourly feed; Pattern-D static),documented-gap,PDF-only,https://www.amm.org.gt/operacion/resultados,partial,Y,IRENA capacity-based estimate + AMM PDF,introduce-as-T2,T2,3,AMM publishes daily/hourly market data in Guatemala's wholesale market. AMM may have machine-readable data. Pattern-D static but AMM is an organized market — worth a live probe.
GIN,guinea,Electricite de Guinee (EDG),not-found,0.1,IRENA Guinea 2024 (EDG); hydro+solar; large Fomi hydro project),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,Solar growing; EDG publishes some annual data. T2 candidate if annual figure cited.
GNB,guinea-bissau,Electricidade e Aguas da Guine-Bissau (EGB),not-found,0.02,IRENA Guinea-Bissau 2024 (EGB); solar+diesel; small W African grid),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Small grid; minimal VRE; priority very low.
GNQ,equatorial-guinea,SONERG (Sociedad Nacional de Energia de Guinea Ecuatorial),not-found,0.05,IRENA Equatorial Guinea 2024 (SONERG); gas+solar+diesel; small grid),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Gas-dominant; minimal solar; priority very low.
HTI,haiti,Electricité Haiti (EDH),not-found,0.05,IRENA Haiti 2024 (EDH); severe load-shed; solar+hydro; small grid),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,Grid in crisis; severe load-shed; EDH publishes some annual data. T2 candidate if annual figure cited from EDH report.
ISL,iceland,Orkustofnun (National Energy Authority),https://www.orkustofnun.is/,5.3,Orkustofnun - Icelandic National Energy Authority (glacial-melt + snowmelt, peaks May-Aug),published,no-public-data,https://www.orkustofnun.is/,N,Y,published annual Orkustofnun data (near-zero curtailment),leave-existing-T1+,T2,0,Existing T2 region. Orkustofnun confirms load-following hydro+geothermal with near-zero curtailment. Structural near-zero anchor.
IDN,indonesia,PLN (Perum Listrik Negara),https://web.pln.co.id/,0.3,IRENA Indonesia 2024 (PLN); gas+coal+hydro; no PLN public dispatch data; Pattern-D static,documented-gap,no-public-data,https://www.pln.co.id/,N,Y,IRENA capacity-based estimate,introduce-as-T2,T2,3,PLN is massive TSO; publishes some annual data. PLN has public dashboards. T2 candidate if annual figure from PLN annual report.
IRN,iran,IGEDO (Iran Grid Management Company),https://www.igu.org.ir/,0.3,IRENA Iran 2024; THRM公布数据; no Iranian TSO public dispatch portal found; Pattern-D static,unknown,no-public-data,not-found,N,N,IRENA capacity-based estimate,blocked-document-only,T3,2,Large grid but IEA/IRENA estimates suggest ~5-10% curtailment of solar. Worth checking IEA data.
IRQ,iraq-mainland,MOE/Iraq Local Electricity,not-found,0.05,IRENA Iraq 2024 (gas+solar+oil; growing solar; MOE/i Qasim Mengesho file),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,War-affected; grid unreliable; data very scarce. Priority very low.
IRL,Ireland (Republic of),EirGrid,https://www.eirgrid.ie/,,already T1a,not-applicable,not-applicable,not-applicable,Y,N,not-applicable,leave-existing-T1+,T1a,0,Already T1a. Not in static list.
ISR,israel,Israel Electric Corporation (IEC),not-found,0.1,IRENA Israel 2024 (IEC); gas+solar; no IEC public dispatch portal; Pattern-D static,unknown,no-public-data,not-found,N,N,IRENA capacity-based estimate,blocked-document-only,T3,2,IEC publishes some generation data. PAUA may have curtailment data. T2 candidate if annual figure from IEC/PAUA.
ITA-SAR,italy-sardinia,TSO Terna,https://www.terna.it/,,already T1b,not-applicable,not-applicable,not-applicable,not-applicable,N,not-applicable,leave-existing-T1+,T1b,0,Already T1b. Not in static list.
ITA-NZ,italy-north-zone,TSO Terna,https://www.terna.it/,,already T1b,not-applicable,not-applicable,not-applicable,not-applicable,N,not-applicable,leave-existing-T1+,T1b,0,Already T1b. Not in static list.
JAM,jamaica,Office of Utilities Regulation Jamaica (OUR) / JPS,not-found,0.2,Office of Utilities Regulation Jamaica Annual Report 2024 (Wigton wind + Content solar; JPS vertically integrated; provisional 0.2 TWh/yr Pattern-D static),documented-gap,PDF-only,not-probed,N,Y,IRENA capacity-based estimate + OUR annual report,introduce-as-T2,T2,3,OUR Jamaica publishes annual reports. JPS may have generation data. T2 candidate if annual figure from OUR report.
JPN,japan,OCCTO (Organization for Cross-regional Coordination of Transmission Operators),https://www.occto.or.jp/,2.0,OCCTO renewable energy supply-demand monitoring; thermal-free PV output data; JPEA公布数据; Pattern-PF canonical,published,JSON-API,https://www.occto.or.jp/,Y,N,OCCTO published rates (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a. Not in static list.
KAZ,kazakhstan,KEGOC (Kazakhstan Electricity Grid Operating Company),https://www.kegoc.kz/,0.1,IRENA Kazakhstan 2024 (KEGOC); gas+coal+hydro+solar; no KEGOC public dispatch data; Pattern-D static,documented-gap,PDF-only,https://www.kegoc.kz/,N,Y,IRENA capacity-based estimate,introduce-as-T2,T2,3,KEGOC publishes annual reports. Kazakhstan is large coal+hydro+ growing solar. Worth a probe for KEGOC annual data.
KEN,kenya,Kenya Power and Lighting Company (KPLC) / Kenya Electricity Generating Company (KenGen),https://www.kplc.co.ke/,0.2,IRENA Kenya 2024 + KenGen/GPZ; geothermal dominant; solar growing,published,JSON-API,https://www.kplc.co.ke/,Y,Y,Kenya Power transparency data (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a. Not in static list.
KGZ,kyrgyzstan,NEK Kyrgyz (National Electricity Company),not-found,0.1,IRENA Kyrgyzstan 2024 (NEK); hydro+solar; CASA-1000 candidate,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,Hydro-dominant; CASA-1000 export link to Pakistan being built; no public data. T2 candidate if annual figure from NEK.
LAO,laos,Electricite du Laos (EDL),not-found,0.2,IRENA Laos 2024 (EDL); hydro+solar; export-oriented grid,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,EDL hydro export to Thailand; domestic curtailment minimal due to export contracts. Priority low.
LVA,latvia,AST (Augstsprieguma Tikls),https://www.ast.lv/,0.1,IRENA Latvia 2024 (AST); Augstkaigo + Ventspils nafta + solar; BRELL; ENTSO-E A75 verification pending,documented-gap,cloudflare-blocked,https://www.ast.lv/ (blocked by Cloudflare),N,Y,not-found,blocked-document-only,T3,2,AST publishes data but Cloudflare blocks automated access. BRELL member. Worth a manual probe or email contact. Annual figure may be in AST annual report (PDF).
LBN,lebanon,Electricité du Liban (EDL),https://www.edl.gov.lb/,0.05,IRENA Lebanon 2024 (EDL); severe crisis; diesel+solar+hydro; small grid,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Grid in economic crisis; solar programs via private PPAs; EDL crisis severely limits data availability.
LBR,liberia,Liberian Electricity Corporation (LEC),https://www.leco-liberia.com/,0.05,IRENA Liberia 2024 (LEC); hydro+solar+diesel; WAPP member),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Small grid; WAPP member but no public portal identified.
LBY,libya,GECOL (General Electricity Company of Libya),https://www.gecol.ly/,0.2,IRENA Libya 2024 (GECOL); solar+gas+diesel; war-affected grid,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,War-affected; severe data gaps. Priority very low.
LTU,lithuania,Litgrid (Lietuvos Elektros Perdavimo Sistema),https://www.litgrid.eu/,0.2,IRENA Lithuania 2024 (ESO); solar+wind; BRELL ring member; ENTSO-E A75 verification pending,documented-gap,XML-feed,https://www.litgrid.eu/ (redirects to new site),N,Y,not-found,introduce-as-T2,T2,3,BRELL member; Litgrid publishes daily generation data at new URL. Could extract annual figure. T2 candidate if annual figure from Litgrid annual report. T1a requires A75 verification.
MKD,fyrom,MEPSO (Macedonian Transmission System Operator),https://www.mepso.com.mk/,0.05,IRENA North Macedonia 2024 (MEPSO); small system; ENTSO-E member; annual reports as PDF; no hourly curtailment series found,unknown,PDF-only,https://www.mepso.com.mk/,N,Y,IRENA capacity-based estimate + MEPSO PDF annual reports,blocked-document-only,T3,2,ENTSO-E member; small system; MEPSO annual reports as PDF. T2 candidate if annual figure cited from named MEPSO report.
MWI,malawi,Electricity Supply Corporation of Malawi (ESCOM),https://www.escom.mw/,0.05,IRENA Malawi 2024 (ESCOM/EGENCO); Shire hydro cascade + Salima PV 60 MW; SAPP member),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,SAPP member; ESCOM publishes some data. T2 candidate if annual figure from ESCOM report.
MYS,malaysia,Tenaga Nasional Berhad (TNB) / SEDA Malaysia,https://www.tnb.com.my/,0.1,IRENA Malaysia 2024 (TNB/SEDA; gas+hydro; no TNB public dispatch data; Pattern-D static),unknown,no-public-data,not-found,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,TNB is large; publishes annual reports. Malaysia solar growing. T2 candidate if annual figure from TNB annual report.
MLI,mali, Energie du Mali (EDM),https://www.edm.ml/,0.1,IRENA Mali 2024 (EDM); solar+hydro+gas; WAPP member,unknown,PDF-only,not-probed,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,WAPP member; EDM publishes some annual data. T2 candidate if annual figure from EDM report.
MRT,mauritania,SOMELEC (Societe Mauritanienne d'Electricite),https://www.somelec.mr/,0.1,IRENA Mauritania 2024 (SOMELEC; Boulenouar wind 100 MW + Sheikh Zayed PV; OMVS member),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,SOMELEC wind farm ~100 MW + solar; some generation data. T2 candidate if annual figure from SOMELEC.
MUS,mauritius,Central Electricity Board (CEB),https://ceb.mu/,0.05,IRENA Mauritius 2024 (CEB); bagasse+coal+oil with growing PV; island grid),unknown,no-public-data,not-found,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,Island grid; CEB publishes annual data. T2 candidate if annual figure from CEB report.
MEX,mexico, CENACE,https://www.cenace.gob.mx/,1.0,IRENA Mexico 2024 (SENER/CENACE); hydro+thermal+solar; already T1a from prior work,published,JSON-API,https://www.cenace.gob.mx/,Y,Y,CENACE public dashboard (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a. Not in static list.
MDA,moldova,Moldelectrica,https://moldelectrica.md/,0.05,IRENA Moldova 2024 (Moldelectrica); solar+gas; ENTSO-E continental sync 2022),unknown,no-public-data,not-found,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,ENTSO-E synchronised since 2022; Moldelectrica publishes some data. T2 candidate if annual figure from Moldelectrica.
MNE,montenegro,CGES (Crnogorski Elektroprenosni Sistem),https://www.cges.me/,0.03,IRENA Montenegro 2024 (CGES); ~3 TWh/yr load; ENTSO-E member; small system; no public RES curtailment archive,unknown,PDF-only,https://www.cges.me/,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,ENTSO-E member; very small system (3 TWh/yr); CGES annual reports as PDF. T2 candidate if annual figure cited.
MNG,mongolia,National Power Transmission Grid (NPTG),https://nptg.mn/,0.05,IRENA Mongolia 2024 (NPTG/ER); small grid; no NPTG public dispatch portal; Pattern-D static,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Small grid; coal+hydro; limited VRE. Priority low.
MAR,morocco,MASEN (Moroccan Agency for Sustainable Energy),https://www.masen.ma/,0.3,IRENA Morocco 2024 + MASEN; Noon/Noor solar program; growing wind; ONEE publishes some data,documented-gap,PDF-only,https://www.onee.ma/,N,Y,IRENA capacity-based estimate + ONEE annual reports,introduce-as-T2,T2,3,MASEN Noor program is large; ONEE is TSO; publishes annual reports. Morocco has significant VRE curtailment reported in academic literature. T2 candidate if annual figure cited from ONEE report.
MOZ,mozambique,Electricidade de Mozambique (EDM),https://www.edmmozambique.com/,0.3,IRENA Mozambique 2024 (EDM; Cahora Bassa hydro exports to Eskom via SAPP; growing solar),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,Cahora Bassa export-focused; domestic curtailment limited; EDM publishes some data. T2 candidate if annual figure cited.
NAM,namibia,Namibia Power (NamPower),https://www.nampower.com/,0.05,IRENA Namibia 2024 (NamPower); hydro+wind; ZAMCO member; Kudu gas pipeline,documented-gap,PDF-only,not-probed,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,2,NamPower generates and transmits; Kudu gas+hydro+wind. T2 candidate if annual figure from NamPower report.
NPL,nepal,Nepal Electricity Authority (NEA),https://www.nea.org.np/,0.2,IRENA Nepal 2024 (NEA); hydro-dominant ~95 percent; solar growing; Himalayan,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,2,Hydro-dominant; export to India; domestic curtailment minimal. T2 candidate if annual figure from NEA.
NZL,new-zealand,Electricity Market (EMI),https://www.emi.ea.govt.nz/,0.1,EMI wind+solar+geo; existing T1a region,published,JSON-API,https://www.emi.ea.govt.nz/Wholesale/Datasets/Generation,already-T1a,Y,Y,EMI confirmed in existing loader,leave-existing-T1+,T1a,0,Already T1a. Not in static list.
NER,niger,Nigerien Electricity Company (NIGELEC),https://www.nigerelec.ne/,0.05,IRENA Niger 2024 (NIGELEC); solar+diesel; small Sahelian grid),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Small grid; solar+diesel; NIGELEC annual data. Priority low.
NGA,nigeria,TCN (Transmission Company of Nigeria),https://www.tcn.org.ng/,7.0,Ember Nigeria 2024 + GGFR Niger Delta flaring 2024-25 (TCN as TSO; chronic frequency-instability load-shed + ~7 TWh-eq/yr Niger Delta gas flare composite; flat 24/7 profile),documented-gap,no-public-data,https://www.tcn.org.ng/,N,Y,Ember + GGFR composite anchor (7 TWh = load-shed + flare),introduce-as-T2,T2,3,TCN publishes daily reports. Nigeria has massive grid issues; load-shed IS the phenomenon. Ember has country-level estimate. T2 candidate with Ember composite anchor.
OMN,oman,Oman Power and Water Procurement Company (OPWP),https://www.nea.org.om/,0.1,IRENA Oman 2024 (OPWP); gas+solar; main operator; existing T1a region,published,JSON-API,https://www.nea.org.om/,Y,Y,OPWP transparency data (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a. Not in static list.
PAK,pakistan,NTDC (National Transmission and Dispatch Company),https://www.ntdc.gov.pk/,0.2,IRENA Pakistan 2024 (NTDC); hydtro+diesel+gas+solar; growing RE; existing T1a,published,parseable-HTML-table,https://www.ntdc.gov.pk/,Y,Y,NTDC hourly data (confirmed in existing loader),leave-existing-T1+,T1a,0,Already T1a. Not in static list.
PSE,palestine,Palestine Electricity Company (PEC),https://www.palpc.com/,0.02,IRENA Palestine 2024 (PEC); Israel-interconnected; solar+wind,unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Israel-interconnected; limited data. Priority very low.
PNG,papua-new-guinea,PNG Power (PNG-Power),https://www.pngpower.com.pg/,0.1,IRENA PNG 2024 (PNG-Power); hydro+solar+diesel; island grid),unknown,no-public-data,not-found,N,N,not-found,blocked-document-only,T3,1,Small island grid; limited data. Priority very low.
PHL,philippines,WREM/NGCP (National Grid Corporation of the Philippines),https://www.wrem.gov.ph/,1.0,IRENA Philippines 2024 (WREM/NGCP); solar+wind+hydro; island grids; confirmed data exists but not machine-readable,unknown,JS-rendered-SPA,https://www.wrem.gov.ph/ (confirmed WREM exists),partial,Y,IRENA capacity-based estimate (1.0 TWh provisional),introduce-as-T2,T2,4,WREM/NGCP SCADA data confirmed but requires JS rendering. Philippines has significant VRE curtailment on island grids. T2 candidate if annual figure from WREM annual report. T1a requires live SCADA probe.
QAT,qatar,Kahramaa (Qatar General Electricity and Water Corporation),https://www.km.qa/,0.05,IRENA Qatar 2024 (Kahramaa); gas+solar; small high-T solar program),unknown,no-public-data,not-found,N,Y,IRENA capacity-based estimate,blocked-document-only,T3,1,Very limited solar; Kahramaa publishes some annual data. Priority very low.
ROU,romania,Transelectrica,https://www.transelectrica.ro/,,already T1a,not-applicable,not-applicable,not-applicable,not-applicable,Y,N,not-applicable,leave-existing-T1+,T1a,0,Already T1a. Not in static list.
