country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
Saudi Arabia,Eastern,East Saudi flaring (Aramco oilfields - Ghawar/Khurais),https://www.worldbank.org/en/programs/gasflaringreduction,e-saudi,T2-flare,flare-associated-gas,published,no-public-data,GGFR/VIIRS; Aramco does not publish per-field flare volumes,GGFR Global Gas Flaring Tracker Report 2024 (Saudi Arabia),3.4,leave-existing-T1+,not-applicable,not-applicable,0.0,"Existing T2-flare 'e-saudi'. Saudi flared ~3.4 BCM 2023 per GGFR; Aramco aims zero-routine 2030."
United Arab Emirates,Federal,ADNOC (flare phenomenon),https://www.adnoc.ae/,,not-modelled,flare-associated-gas,published,no-public-data,GGFR/VIIRS only; ADNOC reports zero-routine targets but no flare-volume series,GGFR Global Gas Flaring Tracker Report 2024 (UAE),0.5,introduce-as-T3,T3,not-applicable,0.0,"UAE flared ~0.5 BCM 2023 per GGFR; ADNOC zero-routine 2030 target. Existing T2 'uae' covers solar-curtailment phenomenon."
United Arab Emirates,Abu Dhabi,Emirates Water and Electricity Company (EWEC) / TRANSCO,https://www.ewec.ae/,uae,T2,curtailment-renewable,documented-gap,parseable-HTML-table,EWEC publishes statements of capacity & projects; no live SCADA,IRENA Renewable Capacity Statistics 2024 UAE,0.1,leave-existing-T1+,not-applicable,not-applicable,0.0,"EWEC procures Noor Abu Dhabi (1.2 GW) Al Dhafra (2 GW). TRANSCO transmission. Existing T2 'uae' aggregates UAE."
United Arab Emirates,Dubai,Dubai Electricity & Water Authority (DEWA),https://www.dewa.gov.ae/,uae,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,DEWA portal app-based; sustainability reports as PDF,IRENA Renewable Capacity Statistics 2024 UAE,0.05,leave-existing-T1+,not-applicable,not-applicable,0.0,"DEWA operates MBR Solar Park (~3 GW). Cross-ref existing T2 'uae'."
United Arab Emirates,Northern Emirates,Federal Electricity & Water Authority (FEWA),https://www.fewa.gov.ae/,uae,T2,none-expected,documented-gap,no-public-data,FEWA serves Northern Emirates; minimal renewable share,none,0.0,leave-existing-T1+,not-applicable,not-applicable,0.0,"FEWA covers Sharjah-rural/Ajman/RAK/Fujairah/UAQ. Cross-ref existing T2 'uae'."
Qatar,,Qatar General Electricity & Water Corporation (Kahramaa),https://www.km.qa/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,annual statistics reports as PDF; no real-time feed,IRENA Renewable Capacity Statistics 2024 Qatar,0.01,blocked-document-only,not-applicable,not-applicable,0.0,"Kahramaa publishes annual statistics PDFs. Solar 800 MW Al Kharsaah online 2022; <2% RE share. Curtailment immaterial."
Qatar,,QatarEnergy (flare phenomenon),https://www.qatarenergy.qa/,,not-modelled,flare-associated-gas,published,no-public-data,GGFR/VIIRS satellite; QatarEnergy publishes targets not volumes,GGFR Global Gas Flaring Tracker Report 2024 (Qatar),0.7,introduce-as-T3,T3,not-applicable,0.0,"Qatar flared ~0.7 BCM 2023 per GGFR; QE zero-routine pledge. North Field expansion may shift volumes."
Kuwait,,Ministry of Electricity Water and Renewable Energy (MEW),https://www.mew.gov.kw/,,not-modelled,curtailment-renewable,documented-gap,PDF-only,MEW annual statistical reports PDF; site Arabic-primary,IRENA Renewable Capacity Statistics 2024 Kuwait,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"MEW=monopoly; ~70 MW Shagaya RE complex. Renewable share <1%. No live data feed."
Kuwait,,Kuwait Oil Company (KOC) - flare phenomenon,https://www.kockw.com/,,not-modelled,flare-associated-gas,published,no-public-data,GGFR/VIIRS; KOC sustainability reports PDF only,GGFR Global Gas Flaring Tracker Report 2024 (Kuwait),0.4,introduce-as-T3,T3,not-applicable,0.0,"Kuwait flared ~0.4 BCM 2023 per GGFR; KOC flare-reduction programme since 2010s targets near-zero."
Oman,,Oman Electricity Transmission Company (OETC),https://omangrid.com/,oman,T2,curtailment-renewable,documented-gap,PDF-only,annual transmission reports PDF; 7-year statement on site,IRENA Renewable Capacity Statistics 2024 Oman,0.05,leave-existing-T1+,not-applicable,not-applicable,0.0,"OETC under Nama Holding. Ibri II (500 MW PV) + Manah I/II in pipeline. Existing T2 'oman'."
Yemen,,Public Electricity Corporation (PEC),https://pec.gov.ye/,,not-modelled,none-expected,documented-gap,unreachable,civil-war: grid fragmented Houthi/PLC zones; no public data,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Yemen grid collapsed since 2015. Distributed solar dominant in many areas (off-grid). PEC site sporadically reachable."
Israel,,Noga - Israel Independent System Operator,https://www.noga-iso.co.il/,israel,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,Noga publishes Hebrew dashboard with real-time generation,IRENA Renewable Capacity Statistics 2024 Israel,0.4,leave-existing-T1+,not-applicable,not-applicable,0.0,"Noga (since 2021) handles dispatch separated from IEC. PV ~5 GW; midday curtailment growing. Existing T2 'israel'."
Israel,,Israel Electric Corporation (IEC),https://www.iec.co.il/,israel,T2,curtailment-renewable,documented-gap,parseable-HTML-table,IEC site has stats pages; production stats annual,IRENA Renewable Capacity Statistics 2024 Israel,0.4,leave-existing-T1+,not-applicable,not-applicable,0.0,"IEC retained generation/distribution; Noga is system operator. Cross-ref existing T2 'israel'."
Palestine,,Palestinian Energy and Natural Resources Authority (PENRA) / PETL,http://www.penra.pna.ps/,,not-modelled,none-expected,documented-gap,no-public-data,extremely limited public data; West Bank/Gaza split; mostly Israeli grid imports,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"PETL (transmission) staged 2018+. Most power imported from IEC/Jordan/Egypt. No curtailment series."
Jordan,,National Electric Power Company (NEPCO),https://www.nepco.com.jo/,jordan,T2,curtailment-renewable,published,PDF-only,NEPCO annual reports PDF (English+Arabic) with curtailment commentary,EMRC/NEPCO Annual Report 2023 (curtailment ~0.5 TWh),0.5,leave-existing-T1+,not-applicable,not-applicable,0.0,"Jordan ~30% RE share 2024; chronic curtailment from south wind+solar transmission constraints. Existing T2 'jordan'."
Lebanon,,Electricité du Liban (EDL),https://www.edl.gov.lb/,,not-modelled,none-expected,documented-gap,no-public-data,EDL grid collapsed since 2019 economic crisis; no operations data,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"EDL provides 2-4 hrs/day from public grid. Distributed diesel+rooftop PV dominant. No system-wide curtailment data."
Syria,,Public Establishment of Electricity (PEE),http://www.moelec.gov.sy/,,not-modelled,none-expected,documented-gap,unreachable,civil-war affected; ministry site sporadic; data 10+ years stale,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,"Syria grid fragmented post-2011. Limited renewables. Ministry of Electricity site barely functional."
