country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes
Cabo Verde,,Empresa Publica de Electricidade e Agua (ELECTRA),https://www.electra.cv/,,not-modelled,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200,IRENA Cabo Verde 2024,0.05,introduce-as-T3,T3,not-applicable,0.0,Island system 9 separate grids; high VRE share but no published curtailment metric.
Cameroon,,Energy of Cameroon (ENEO) / SONATREL,https://eneo.cm/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Cameroon 2024,0.1,introduce-as-T3,T3,not-applicable,0.0,SONATREL=transmission since 2018; ENEO=distribution; mostly hydro; no dispatch portal.
Central African Republic,,Energie Centrafricaine (ENERCA),https://www.enerca-rca.cf/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Bangui-only grid ~30MW; site frequently offline; conflict-affected. No public data.
Chad,,Societe Nationale d'Electricite (SNE Tchad),https://sne.td/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,N'Djamena-centred; very low electrification; site sporadic. GGFR also relevant for flaring.
Comoros,,Societe Nationale d'Electricite des Comores (SONELEC),https://sonelec.km/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Three island grids; diesel-dominant; no operator data portal.
Congo (Brazzaville),,Societe Nationale d'Electricite (SNE Congo),https://www.sne.cg/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Hydro+gas; flaring relevant via GGFR; site rarely reachable. No dispatch data.
Congo DRC,,Societe Nationale d'Electricite (SNEL),https://www.snel.cd/,,not-modelled,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200,IRENA DRC 2024,0.5,introduce-as-T3,T3,not-applicable,0.0,Inga hydro complex ~2.5GW; SAPP member; no published dispatch curtailment data.
Cote d'Ivoire,,Compagnie Ivoirienne d'Electricite (CIE),https://www.cie.ci/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Cote d'Ivoire 2024,0.1,introduce-as-T3,T3,not-applicable,0.0,Major WAPP exporter; thermal+hydro; growing PV; no operator-direct curtailment series.
Djibouti,,Electricite de Djibouti (EDD),https://www.edd.dj/,,not-modelled,curtailment-renewable,documented-gap,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Imports from Ethiopia via EAPP; small wind/PV pilots; site intermittent.
Egypt,,Egyptian Electricity Transmission Company (EETC),http://www.eetc.net.eg/,egypt,T2,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,Ember Egypt 2024 + NREA Benban grid disconnections,0.6,leave-T3,T3,not-applicable,0.0,Project T2 anchored on Benban frequency disconnections (NREA); EETC site has grid code PDFs only; no live dispatch feed.
Equatorial Guinea,,Sociedad de Electricidad de Guinea Ecuatorial (SEGESA),https://segesa.gq/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Gas-dominated; flaring relevant via GGFR; minimal VRE; site offline at probe.
Eritrea,,Eritrean Electricity Corporation (EEC),https://shabait.com/,,not-modelled,curtailment-renewable,unknown,no-public-data,no-homepage-found,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,No dedicated operator website located; state news (shabait) used as placeholder; thermal-dominant Asmara grid.
Eswatini,,Eswatini Electricity Company (EEC),https://www.eec.co.sz/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Eswatini 2024,0.05,introduce-as-T3,T3,not-applicable,0.0,SAPP member; biomass+hydro+imports from Eskom; no dispatch portal.
Ethiopia,,Ethiopian Electric Power (EEP) / Ethiopian Electric Utility (EEU),https://www.eep.com.et/,ethiopia,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200,IRENA Ethiopia 2024 + GERD ramp-up,0.5,leave-T3,T3,not-applicable,0.0,Project T2 is hydro-spill proxy; EEP site is SPA with no dispatch feed; GERD operational data not public.
Gabon,,Societe d'Energie et d'Eau du Gabon (SEEG),https://www.seeg-gabon.com/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Gabon 2024,0.05,introduce-as-T3,T3,not-applicable,0.0,Hydro+gas; oil-flaring relevant via GGFR; SEEG publishes corporate news only.
Gambia,,National Water and Electricity Company (NAWEC),https://nawec.gm/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Gambia 2024,0.02,introduce-as-T3,T3,not-applicable,0.0,Diesel-dominant; Jambur PV 23MW commissioning; OMVG interconnection in progress; no dispatch data.
Ghana,,Ghana Grid Company (GRIDCo),https://www.gridcogh.com/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,Ember Ghana 2024,0.2,introduce-as-T3,T3,not-applicable,0.0,GRIDCo TSO + ECG/NEDCo distributors; significant hydro (Akosombo) + emerging PV; publishes annual reports but no live curtailment.
Guinea,,Electricite de Guinee (EDG),https://www.edg.com.gn/,,not-modelled,curtailment-renewable,documented-gap,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Hydro-dominant; Souapiti/Kaleta; OMVG member; site sporadic. No public dispatch.
Guinea-Bissau,,Electricidade e Aguas da Guine-Bissau (EAGB),https://eagb.gw/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Diesel-dominant; OMVG interconnection; site rarely up; no public data.
Kenya,,Kenya Electricity Transmission Company (KETRACO) + Kenya Power + KenGen,https://www.ketraco.co.ke/,kenya,T2,curtailment-renewable,published,parseable-HTML-table,homepage-200,EPRA 2025 (geothermal overnight venting),0.1,leave-T3,T3,not-applicable,0.0,Project T2 anchored on EPRA geothermal venting; KETRACO/Kenya Power/KenGen sites have annual reports only; no live SCADA feed public.
Lesotho,,Lesotho Electricity Company (LEC),https://lec.co.ls/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Lesotho 2024,0.02,introduce-as-T3,T3,not-applicable,0.0,Muela hydro 72MW + imports from Eskom (SAPP); no dispatch portal.
Liberia,,Liberia Electricity Corporation (LEC),https://www.lec.com.lr/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Liberia 2024,0.02,introduce-as-T3,T3,not-applicable,0.0,Mt Coffee hydro 88MW + HFO; CLSG cross-border line; no dispatch portal.
Libya,,General Electricity Company of Libya (GECOL),https://gecol.ly/,,not-modelled,both,unknown,unreachable,homepage-timeout,GGFR Libya 2024 (flare),5.0,blocked-document-only,not-applicable,not-applicable,0.0,Civil-war-affected; chronic blackouts; major associated-gas flaring per GGFR (~5 TWh-eq/yr); GECOL site rarely accessible.
Madagascar,,Jiro sy Rano Malagasy (JIRAMA),https://www.jirama.mg/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Madagascar 2024,0.05,introduce-as-T3,T3,not-applicable,0.0,Hydro+thermal; small isolated grids; no dispatch portal.
Malawi,,Electricity Supply Corporation of Malawi (ESCOM) / EGENCO,https://www.escom.mw/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Malawi 2024,0.05,introduce-as-T3,T3,not-applicable,0.0,Shire hydro cascade + Salima PV 60MW; SAPP member; no dispatch portal.
Mali,,Energie du Mali (EDM-SA),https://edmsa.ml/,,not-modelled,curtailment-renewable,documented-gap,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Hydro+thermal+OMVS imports; severe load-shedding; site sporadic.
Mauritania,,Societe Mauritanienne d'Electricite (SOMELEC),https://somelec.mr/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Mauritania 2024,0.1,introduce-as-T3,T3,not-applicable,0.0,Boulenouar wind 100MW + Sheikh Zayed PV; OMVS member; no dispatch portal.
Mauritius,,Central Electricity Board (CEB),https://ceb.mu/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Mauritius 2024,0.05,introduce-as-T3,T3,not-applicable,0.0,Bagasse+coal+oil with growing PV; island grid; integrated reports only.
Morocco,,Office National de l'Electricite et de l'Eau Potable (ONEE),http://www.one.org.ma/,morocco,T2,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200,ANRE Annual Report 2024,0.5,leave-T3,T3,not-applicable,0.0,Project T2 anchored on ANRE 2024 (south-north transmission constraint); ONEE site SPA; covers Western Sahara per project rule; no live dispatch.
Mozambique,,Electricidade de Mocambique (EDM),https://www.edm.co.mz/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Mozambique 2024,0.3,introduce-as-T3,T3,not-applicable,0.0,Cahora Bassa HCB hydro exports to Eskom via SAPP; growing solar; no operator dispatch portal.
Namibia,,NamPower,https://www.nampower.com.na/,namibia,T2,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,NamPower Integrated Strategic Business Plan 2025,0.1,leave-T3,T3,not-applicable,0.0,Project T2 anchored on NamPower ISB 2025; SAPP member; Ruacana hydro+IPP solar; no live dispatch feed.
Niger,,Societe Nigerienne d'Electricite (NIGELEC),https://www.nigelec.ne/,,not-modelled,curtailment-renewable,documented-gap,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Imports ~70% from Nigeria; political instability since 2023; site sporadic.
Nigeria,,Transmission Company of Nigeria (TCN),https://www.tcn.org.ng/,,not-modelled,both,documented-gap,parseable-HTML-table,homepage-200,Ember Nigeria 2024 + GGFR Nigeria flaring,7.0,introduce-as-T3,T3,not-applicable,0.0,TCN as TSO; chronic frequency-instability load-shedding; major Niger Delta gas flaring (~7 TWh-eq/yr per GGFR); no live dispatch feed.
Rwanda,,Rwanda Energy Group (REG) / Energy Utility Corporation Limited (EUCL),https://www.reg.rw/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Rwanda 2024,0.05,introduce-as-T3,T3,not-applicable,0.0,REG holding; EUCL operates; methane-from-Lake-Kivu + hydro+solar; no dispatch portal.
Sao Tome and Principe,,Empresa de Agua e Electricidade (EMAE),https://www.emae.st/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Two island grids ~25MW; diesel; site sporadic.
Senegal,,Societe Nationale d'Electricite du Senegal (SENELEC),https://www.senelec.sn/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Senegal 2024,0.3,introduce-as-T3,T3,not-applicable,0.0,Significant wind (Taiba N'Diaye 158MW) + PV; OMVS/OMVG member; CRSE regulator; no operator dispatch portal.
Seychelles,,Public Utilities Corporation (PUC),https://www.puc.sc/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Seychelles 2024,0.01,introduce-as-T3,T3,not-applicable,0.0,Mahe island grid + outer islands; growing PV; integrated annual report only.
Sierra Leone,,Electricity Distribution and Supply Authority (EDSA) / EGTC,https://edsa.sl/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Sierra Leone 2024,0.02,introduce-as-T3,T3,not-applicable,0.0,EGTC=transmission EDSA=distribution; CLSG cross-border line; Bumbuna hydro; no dispatch data.
Somalia,,BECO (Mogadishu) and regional providers,https://beco.so/,,not-modelled,curtailment-renewable,unknown,parseable-HTML-table,homepage-200,IRENA Somalia 2024,0.05,blocked-document-only,not-applicable,not-applicable,0.0,Fragmented private mini-grids; BECO largest in Mogadishu; no nationwide TSO; no dispatch data.
South Africa,,Eskom Holdings SOC Ltd,https://www.eskom.co.za/,south-africa,T1b,curtailment-renewable,published,JSON-API,already-loaded,Eskom Data Portal hourly + MTSAO 2024,5.0,leave-existing-T1+,not-applicable,not-applicable,0.0,Existing T1 live region; Eskom Data Portal renewables hourly + MTSAO curtailment rate; no change.
South Sudan,,South Sudan Electricity Corporation (SSEC),https://ssec.gov.ss/,,not-modelled,both,unknown,unreachable,homepage-timeout,GGFR South Sudan 2024 (flare),0.5,blocked-document-only,not-applicable,not-applicable,0.0,Juba diesel grid <100MW; oil flaring relevant via GGFR; no public data.
Sudan,,Sudanese Electricity Transmission Company (SETCO) / National Electricity Corporation (NEC),https://nec.gov.sd/,,not-modelled,curtailment-renewable,unknown,unreachable,homepage-timeout,none,0.0,blocked-document-only,not-applicable,not-applicable,0.0,Civil-war-affected since 2023; Merowe/Roseires hydro; chronic blackouts; site offline.
Tanzania,,Tanzania Electric Supply Company (TANESCO),https://www.tanesco.co.tz/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Tanzania 2024 + Julius Nyerere HPP commissioning,0.5,introduce-as-T3,T3,not-applicable,0.0,Vertically integrated; JNHPP 2.1GW commissioning 2024-25; gas+hydro; no dispatch portal.
Togo,,Compagnie Energie Electrique du Togo (CEET),https://ceet.tg/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Togo 2024,0.05,introduce-as-T3,T3,not-applicable,0.0,Imports from CEB-Benin/Nigeria via WAPP; Blitta PV 50MW; no dispatch portal.
Tunisia,,Societe Tunisienne de l'Electricite et du Gaz (STEG),https://www.steg.com.tn/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,IRENA Tunisia 2024 + STEG Annual Report,0.4,introduce-as-T3,T3,not-applicable,0.0,Gas-dominated; growing wind (Bizerte) + PV; ELMED HVDC to Italy planned; STEG publishes annual reports only.
Uganda,,Uganda Electricity Transmission Company Ltd (UETCL),https://www.uetcl.com/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,ERA Annual Performance 2024,0.2,introduce-as-T3,T3,not-applicable,0.0,UETCL TSO + UEDCL distribution + ERA regulator; Karuma+Isimba hydro; no live dispatch feed.
Zambia,,ZESCO Limited,https://www.zesco.co.zm/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,Ember Zambia 2024 + Kariba drought,0.5,introduce-as-T3,T3,not-applicable,0.0,Hydro-dependent (Kariba+Kafue); SAPP member; severe 2024-25 drought load-shedding; no dispatch portal.
Zimbabwe,,Zimbabwe Electricity Transmission and Distribution Company (ZETDC) / Zimbabwe Power Company (ZPC),https://www.zetdc.co.zw/,,not-modelled,curtailment-renewable,documented-gap,parseable-HTML-table,homepage-200,Ember Zimbabwe 2024 + Kariba South,0.3,introduce-as-T3,T3,not-applicable,0.0,ZPC generation ZETDC T+D; Kariba South hydro+coal; SAPP member; no dispatch portal.
