country,subdivision,operator_name,operator_url,region_id_in_project,current_tier,phenomenon,coverage_status,data_format,probe_result,available_anchor,annual_anchor_TWh,recommended_action,recommended_tier_landing,loader_pattern_hint,priority_score,notes,parent_region_id,granularity_available,expected_new_regions
SEN,,Senelec,https://www.senelec.sn/,senegal,T3,curtailment-renewable,documented-gap,no-public-data,homepage-200; business KPIs and annual PDF only; no generation dispatch,IRENA Senegal 2024,0.05,leave-T3,T3,not-applicable,0.0000,Senelec: SAIFI/SAIDI metrics and annual reports. Staging IP links visible. No generation or renewable dispatch series.,,none,0
NAM,,NamPower,https://www.nampower.com.na/,namibia,T3,curtailment-renewable,documented-gap,no-public-data,homepage-200; installed capacity and river-flow stats only,NamPower ISBP 2026-2030,0.02,leave-T3,T3,not-applicable,0.0000,NamPower: 563 MW installed and Ruacana river-flow live. Annual reports exist but no public hourly generation series.,,none,0
TZA,,Tanzania Electric Supply Company (TANESCO),https://www.tanesco.co.tz/,tanzania,T3,curtailment-renewable,documented-gap,unreachable,TLS cert error (unable to verify certificate),IRENA Tanzania 2024,0.05,leave-T3,T3,not-applicable,0.0000,TANESCO site returned TLS cert error at probe. No generation data accessible.,,none,0
ZMB,,ZESCO,https://www.zesco.co.zm/,zambia,T3,curtailment-renewable,documented-gap,no-public-data,homepage-200; annual reports and customer portal; no hydro dispatch,Ember Zambia 2024,0.1,leave-T3,T3,not-applicable,0.0000,ZESCO: annual reports from 2015 and customer portal. No public hydro generation or spill series found.,,none,0
ZWE,,Zimbabwe Transmission and Distribution Company (ZETDC),https://www.zetdc.co.zw/,zimbabwe,T3,curtailment-renewable,documented-gap,unreachable,TLS cert invalid (ERR_TLS_CERT_ALTNAME_INVALID),Ember Zimbabwe 2024,0.05,leave-T3,T3,not-applicable,0.0000,ZETDC site has invalid TLS cert at probe. No generation data accessible.,,none,0
UGA,,Uganda Electricity Transmission Company (UETCL),https://www.uetcl.com/,uganda,T3,curtailment-renewable,documented-gap,unreachable,cert error on all UETCL URLs; ERA site under construction,ERA Annual Performance 2024,0.05,leave-T3,T3,not-applicable,0.0000,UETCL returned cert errors on all attempts. ERA website shows under-construction placeholder. No dispatch data.,,none,0
DZA,,Gestionnaire du Réseau de Transport (GRTE),https://www.grte.dz/,algeria,T3,curtailment-renewable,documented-gap,unreachable,cert error (unknown certificate verification error),IRENA Algeria 2024,0.05,leave-T3,T3,not-applicable,0.0000,GRTE site cert error at probe. SONELGAZ/OS not separately probed. No public renewable dispatch found.,,none,0
AGO,,RNT-EP (Rede Nacional de Transporte de Electricidade),https://www.rnt.co.ao/,angola,T3,curtailment-renewable,documented-gap,JS-rendered-SPA,homepage-200; stats page 200 but JS-rendered interactive; no download option,IRENA Angola 2024,0.02,leave-T3,T3,not-applicable,0.0000,RNT-EP publishes interactive stats (production/consumption/SAIDI/SAIFI) but JS-rendered with no CSV/API export evident.,,none,0
CMR,,ENEO / SONATREL,https://eneo.cm/,cameroon,T3,curtailment-renewable,documented-gap,unreachable,503 Service Unavailable (Retry-After: 600),IRENA Cameroon 2024,0.02,leave-T3,T3,not-applicable,0.0000,ENEO site returned 503 at probe. SONATREL not separately probed. No generation data accessible.,,none,0
CIV,,Compagnie Ivoirienne d'Electricite (CIE),https://www.cie.ci/,cote-divoire,T3,curtailment-renewable,documented-gap,unreachable,cert error (unable to verify certificate),IRENA Cote d'Ivoire 2024,0.05,leave-T3,T3,not-applicable,0.0000,CIE site has TLS cert error at probe. Major WAPP exporter. No renewable dispatch data accessible.,,none,0
TUN,,Societe Tunisienne de l'Electricite et du Gaz (STEG),https://www.steg.com.tn/,tunisia,T3,curtailment-renewable,documented-gap,unreachable,cert error on both steg.com.tn and /fr/ path,IRENA Tunisia 2024,0.05,leave-T3,T3,not-applicable,0.0000,STEG has TLS cert error. Bizerte wind and PV tracked by IRENA. No public generation dispatch found.,,none,0
MOZ,,Electricidade de Mocambique (EDM),https://www.edm.co.mz/,mozambique,T3,curtailment-renewable,documented-gap,no-public-data,homepage-200; performance reports section exists but subpage 404,IRENA Mozambique 2024,0.05,leave-T3,T3,not-applicable,0.0000,EDM homepage 200; mentions Relatorios de Desempenho but performance-report URL 404. No dispatch series found.,,none,0
Regional,Southern Africa,Southern African Power Pool (SAPP),https://www.sapp.co.zw/,,not-modelled,none-expected,documented-gap,parseable-HTML-table,homepage-200; report nav present; specific report sub-URLs 404,SAPP Annual Report 2024,0.0,blocked-document-only,not-applicable,not-applicable,0.0000,SAPP homepage 200. Markets/monthly-reports/statistics subpages 404. Annual and monthly PDFs may exist behind nav.,,none,0
